date,high,low,opening_price,closing_price,volume
10-06-12 0:00,7,6.9,6.9,6.9,25000
07-06-12 0:00,7,6.9,6.9,6.9,90500
06-06-12 0:00,7.1,6.9,7,7,80500
05-06-12 0:00,7.1,6.9,7,6.9,42500
04-06-12 0:00,7.3,6.9,7.3,6.9,120500
03-06-12 0:00,7.2,7,7,7.1,50000
31-05-12 0:00,7.1,7,7,7,90500
30-05-12 0:00,7.1,6.9,6.9,7,70500
29-05-12 0:00,7,6.9,6.9,6.9,327000
28-05-12 0:00,7.1,6.9,7,6.9,274000
27-05-12 0:00,7.1,6.9,7,7,134000
24-05-12 0:00,7.3,7.1,7.1,7.1,40000
23-05-12 0:00,7.2,7,7.1,7.1,103500
22-05-12 0:00,7.3,7.2,7.2,7.2,53000
21-05-12 0:00,7.5,7.1,7.2,7.3,95500
20-05-12 0:00,7.3,7.1,7.1,7.1,142500
17-05-12 0:00,7.3,7.2,7.3,7.2,48000
16-05-12 0:00,7.3,7.2,7.3,7.2,228500
15-05-12 0:00,7.4,7.2,7.2,7.2,85500
14-05-12 0:00,7.3,7.2,7.2,7.2,72000
13-05-12 0:00,7.3,7.2,7.3,7.2,77500
10-05-12 0:00,7.4,7.2,7.2,7.3,241500
09-05-12 0:00,7.3,7.1,7.3,7.2,210000
08-05-12 0:00,7.4,7.2,7.4,7.2,283000
07-05-12 0:00,7.4,7.2,7.3,7.3,43000
03-05-12 0:00,7.5,7.2,7.5,7.2,306000
02-05-12 0:00,7.6,7.5,7.5,7.5,116000
30-04-12 0:00,7.7,7.4,7.6,7.4,183000
29-04-12 0:00,7.5,7.3,7.4,7.4,144000
26-04-12 0:00,7.7,7.4,7.5,7.4,73500
25-04-12 0:00,7.7,7.5,7.5,7.5,189500
24-04-12 0:00,7.8,7.6,7.6,7.6,263000
23-04-12 0:00,7.8,7.6,7.6,7.6,580500
22-04-12 0:00,7.8,7.5,7.5,7.6,425000
19-04-12 0:00,7.9,7.6,7.8,7.6,161500
18-04-12 0:00,8,7.8,7.8,7.9,858500
17-04-12 0:00,7.9,7.6,7.6,7.8,287500
16-04-12 0:00,7.8,7.6,7.8,7.6,206500
15-04-12 0:00,7.8,7.5,7.7,7.6,451000
12-04-12 0:00,7.7,7.5,7.5,7.5,145500
